Group,Intent,Question,Answer,Language,Tags,Source,Use Logs?
Score Meaning,ask_score_meaning,What does a score of 1 mean for my allergy symptoms?,A score of 1 means very mild symptoms. You may notice occasional sneezing or slight irritation without disruption to daily activities.,en,"score, severity",Dayllergist Guide,no
Score Meaning,ask_score_meaning,"If I score 2 on my allergy log, what should I do?",A score of 2 suggests mild symptoms. Monitor symptoms closely but treatment is usually not needed unless it worsens.,en,"score, mild symptoms",Dayllergist Guide,no
Score Meaning,ask_score_meaning,What does a score of 3 indicate in the allergy diary?,A score of 3 indicates mild-to-moderate symptoms; you may consider over-the-counter treatments if discomfort increases.,en,"score, mild to moderate",Dayllergist Guide,no
Score Meaning,ask_score_meaning,How severe is a score of 4 on the allergy scale?,A score of 4 shows moderate symptoms that may impact daily activities; you might want to begin basic treatment or consult a doctor.,en,"score, moderate severity",Dayllergist Guide,no
Score Meaning,ask_score_meaning,What does a score of 5 represent in allergy tracking?,"A score of 5 suggests moderately severe symptoms, possibly affecting sleep or concentration; medical advice is recommended.",en,"score, moderate severe",Dayllergist Guide,no
Score Meaning,ask_score_meaning,"If my score is 6, how serious is my condition?",A score of 6 means fairly severe symptoms; proactive medication and a doctors consultation should be considered.,en,"score, serious condition",Dayllergist Guide,no
Score Meaning,ask_score_meaning,What does it mean if I score 7 for allergy symptoms?,A score of 7 signals severe symptoms with significant daily impact; seek medical evaluation and treatment.,en,"score, severe allergy",Dayllergist Guide,no
Score Meaning,ask_score_meaning,Is a score of 8 considered a severe allergy reaction?,A score of 8 indicates very severe symptoms; it is important to adjust medications and possibly see a specialist.,en,"score, very severe",Dayllergist Guide,no
Score Meaning,ask_score_meaning,What does a score of 9 imply for my allergy severity?,A score of 9 implies extremely severe symptoms; emergency care might be needed if breathing is affected.,en,"score, emergency allergy",Dayllergist Guide,no
Score Meaning,ask_score_meaning,"If I score 10, what should I be concerned about?","A score of 10 reflects critical severity; seek immediate medical attention, especially if anaphylaxis symptoms appear.",en,"score, critical severity",Dayllergist Guide,no
Symptom Severity Guide,ask_nose_symptoms,What does a nose allergy score of 0 mean?,No nasal symptoms at all. Breathing and comfort are completely normal.,en,nose_score_0,nose_scoring.docx,no
Symptom Severity Guide,ask_nose_symptoms,What does a nose allergy score of 1 mean?,Very mild symptoms. Occasional sneezing or slight nasal irritation.,en,nose_score_1,nose_scoring.docx,no
Symptom Severity Guide,ask_nose_symptoms,What does a nose allergy score of 2 mean?,Mild discomfort such as light congestion or a few sneezes. No major impact.,en,nose_score_2,nose_scoring.docx,no
Symptom Severity Guide,ask_nose_symptoms,What does a nose allergy score of 3 mean?,Mild to moderate symptoms. Noticeable stuffiness and occasional sneezing.,en,nose_score_3,nose_scoring.docx,no
Symptom Severity Guide,ask_nose_symptoms,What does a nose allergy score of 4 mean?,Moderate symptoms. Frequent sneezing and some nasal congestion.,en,nose_score_4,nose_scoring.docx,no
Symptom Severity Guide,ask_nose_symptoms,What does a nose allergy score of 5 mean?,"Persistent sneezing, moderate congestion, and a runny nose.",en,nose_score_5,nose_scoring.docx,no
Symptom Severity Guide,ask_nose_symptoms,What does a nose allergy score of 6 mean?,Symptoms now require treatment. Frequent sneezing and nasal discomfort.,en,nose_score_6,nose_scoring.docx,no
Symptom Severity Guide,ask_nose_symptoms,What does a nose allergy score of 7 mean?,"Severe nasal symptoms. Constant sneezing, itchiness, and blockage.",en,nose_score_7,nose_scoring.docx,no
Symptom Severity Guide,ask_nose_symptoms,What does a nose allergy score of 8 mean?,Very severe symptoms that disrupt daily activities. Blockage and dripping.,en,nose_score_8,nose_scoring.docx,no
Symptom Severity Guide,ask_nose_symptoms,What does a nose allergy score of 9 mean?,Extreme sneezing and runny nose. Breathing feels difficult.,en,nose_score_9,nose_scoring.docx,no
Symptom Severity Guide,ask_nose_symptoms,What does a nose allergy score of 10 mean?,"Chronic, debilitating nasal symptoms. Constant discomfort and blockage.",en,nose_score_10,nose_scoring.docx,no
Symptoms,ask_nose_symptoms,Why do I keep sneezing in the morning?,Morning sneezing is often triggered by dust mites or allergens in your bedding. Try changing pillowcases frequently and using hypoallergenic covers.,en,"nose, congestion, sneezing, runny nose",nose_scoring.docx,no
Symptoms,ask_nose_symptoms,What causes constant nasal congestion?,"Constant nasal congestion can be a sign of allergic rhinitis. Environmental triggers like PM2.5, pollen, or mold are common causes.",en,"nose, congestion, sneezing, runny nose",nose_scoring.docx,no
Symptoms,ask_nose_symptoms,Why is my nose always runny during the rainy season?,"Humidity and mold growth during the rainy season can worsen allergic rhinitis, leading to persistent runny nose.",en,"nose, congestion, sneezing, runny nose",nose_scoring.docx,no
Symptoms,ask_nose_symptoms,Is nasal itchiness a sign of an allergy?,"Yes, nasal itchiness is a common symptom of allergic rhinitis. It often comes with sneezing and congestion.",en,"nose, congestion, sneezing, runny nose",nose_scoring.docx,no
Symptoms,ask_nose_symptoms,How can I stop my nose from being blocked all night?,Try using a nasal steroid spray before bed and elevating your head while sleeping. Air purifiers may also help reduce allergens.,en,"nose, congestion, sneezing, runny nose",nose_scoring.docx,no
Symptoms,ask_nose_symptoms,I sneeze when I enter my room why?,"Indoor allergens like dust mites, mold, or pet dander may be triggering your symptoms. Regular cleaning and air filtration are recommended.",en,"nose, congestion, sneezing, runny nose",nose_scoring.docx,no
Symptoms,ask_nose_symptoms,What are the signs that my nasal allergy is getting worse?,"More frequent sneezing, persistent congestion, and trouble sleeping can signal that your allergy is worsening.",en,"nose, congestion, sneezing, runny nose",nose_scoring.docx,no
Symptoms,ask_nose_symptoms,Why does my nose feel itchy even when I'm not sick?,Allergic rhinitis can cause nose itchiness without other cold symptoms. It's often seasonal or triggered by environment.,en,"nose, congestion, sneezing, runny nose",nose_scoring.docx,no
Symptoms,ask_nose_symptoms,Can air conditioning cause nasal allergies?,"Yes, AC units can circulate dust and mold spores, which may trigger nasal allergies. Regular filter cleaning can help.",en,"nose, congestion, sneezing, runny nose",nose_scoring.docx,no
Symptoms,ask_nose_symptoms,What does it mean if I'm sneezing and my nose runs every morning?,It likely means you're sensitive to indoor allergens that accumulate overnight. Consider air purifiers and allergy-proof bedding.,en,"nose, congestion, sneezing, runny nose",nose_scoring.docx,no
Symptoms,ask_nose_symptoms,Why do I get congested every time it rains?,Rain increases humidity which encourages mold growth. Mold spores can trigger nasal congestion in people with mold allergies.,en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why does my nose feel stuffy when I wake up?,Morning congestion may result from allergens like dust mites that build up in bedding overnight.,en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Can I be allergic to my pet's fur?,"Yes, pet dander is a common allergen and can cause sneezing, congestion, and nasal itching.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Is it normal for my nose to bleed from frequent sneezing?,"Frequent sneezing can dry or irritate your nasal passages, sometimes causing minor bleeding. Humidifiers may help.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why does my nose get itchy while exercising outdoors?,"Outdoor activities increase exposure to pollen, dust, and pollution, which can irritate nasal passages.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,What's causing my nose to be congested on hot days?,Hot weather can worsen air pollution and increase allergen levels like pollen and mold.,en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why is one side of my nose always more blocked?,"This could be due to normal nasal cycle changes, or more likely allergic rhinitis if it persists or worsens in specific environments.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why does my nose run when I laugh?,"Strong emotions like laughter can stimulate nerves linked to nasal glands, triggering a non-allergic reaction.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Does stress make my nasal allergies worse?,"Yes, stress can heighten your immune response and worsen allergy symptoms, including nasal congestion.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why do I get congested at work but not at home?,"You might be allergic to workplace irritants like dust, mold, office plants, or cleaning products.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Can I develop nasal allergies as an adult?,"Yes, adult-onset allergies are common and can be triggered by long-term exposure to new environments.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why do antihistamines stop working for my congestion?,"You may have built tolerance to one medication, or your congestion could be caused by non-allergic rhinitis.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Does cold air cause sneezing or just allergies?,"Cold air itself can trigger sneezing as it irritates nasal passages, even without allergens.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why do I sneeze so much when I visit a friend's house?,"Different homes may have allergens you're not used to, such as pets, mold, or dust.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why does my nose drip when I eat soup?,"This is called gustatory rhinitis, a reflex reaction to hot or spicy food that causes your nose to run.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why do I sneeze after applying perfume?,"Strong scents like perfume can trigger non-allergic rhinitis, especially in sensitive individuals.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why does my nose get itchy when I'm tired?,"Fatigue can reduce your immune threshold, making your body more sensitive to allergens.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why do I feel like I have allergies at night only?,"Nighttime allergies may be caused by indoor allergens like bedding dust mites, mold, or pet dander.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why do I sneeze after washing my bedsheets?,"Laundering can release dust and detergent residues, both of which may irritate sensitive nasal tissues.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Can shower steam cause a runny nose?,"Hot steam can dilate blood vessels in the nose, temporarily causing congestion or dripping.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Is it possible my nasal allergy is triggered by cleaning sprays?,"Yes, strong-smelling cleaning products can irritate your nose and trigger symptoms.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why does my nose react after vacuuming the floor?,"Vacuuming kicks up fine dust and allergens from carpet or flooring, triggering nasal irritation.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why do I sneeze when I wear wool clothing?,Wool fibers can carry dust or pollen and cause irritation in people with sensitivities.,en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
