Group,Intent,Question,Answer,Language,Tags,Source,Use Logs?
Treatment,ask_treatment,What are common treatments for seasonal allergies?,"Common treatments include antihistamines, decongestants, corticosteroids, and immunotherapy. Each targets different allergy symptoms.",en,"treatment, allergies",Mayo Clinic,no
Treatment,ask_treatment,How can antihistamines help with allergies?,"Antihistamines block histamine, a chemical your body releases during an allergic reaction, helping relieve sneezing, runny nose, and itching.",en,"treatment, antihistamines",Mayo Clinic,no
Treatment,ask_treatment,When should someone consider allergy shots?,"Allergy shots, or immunotherapy, are recommended when symptoms are severe, persistent, and not controlled by medications.",en,"treatment, allergy shots",AAAAI,no
Treatment,ask_treatment,What is immunotherapy for allergies?,"Immunotherapy gradually desensitizes the immune system to specific allergens, reducing symptom severity over time.",en,"treatment, immunotherapy",Mayo Clinic,no
Treatment,ask_treatment,Can decongestants help with nasal allergies?,"Decongestants reduce swelling in nasal passages, easing breathing but should not be used long-term.",en,"treatment, decongestants",CDC,no
Treatment,ask_treatment,How does nasal corticosteroid spray work?,Nasal corticosteroid sprays reduce inflammation directly in the nasal passages and are highly effective for allergic rhinitis.,en,"treatment, corticosteroids",Mayo Clinic,no
Treatment,ask_treatment,Are natural treatments effective for allergies?,"Some natural treatments like saline rinses and certain herbal supplements may help, but evidence varies. Always consult a doctor.",en,"treatment, natural remedies",AAFA,no
Treatment,ask_treatment,When should someone see a doctor for allergy treatment?,"See a doctor if over-the-counter treatments don't relieve symptoms, or if reactions are severe and impact daily life.",en,"treatment, doctor consultation",Mayo Clinic,no
Treatment,ask_treatment,Can saline nasal sprays treat allergies?,"Saline sprays help rinse allergens from nasal passages and moisturize dry nasal tissues, offering mild relief.",en,"treatment, nasal sprays",AAFA,no
Treatment,ask_treatment,Are allergy eye drops safe to use daily?,"Allergy eye drops can be safe for daily use depending on the type (antihistamine, mast-cell stabilizers) but consult an eye specialist.",en,"treatment, eye drops",AAO,no
Prevention,ask_prevention,How can I prevent pollen allergies?,Limiting outdoor exposure during high pollen counts and using air conditioning with HEPA filters can help prevent pollen allergies.,en,"prevention, pollen",Mayo Clinic,no
